inci_name,kor_name,eng_name,cosing_functions,status,cosmetic_restriction,other_restrictions
2-HYDROXYETHYL ACRYLATE,2-하이드록시에틸아크릴레이트,2-Hydroxyethyl Acrylate,FILM FORMING,Active,,
ISOPHORONE DIISOCYANATE,아이소포론다이아이소시아네이트,Isophorone Diisocyanate,FILM FORMING,Active,,
POLYURETHANE-57,폴리우레탄-57,Polyurethane-57,BINDING,Active,,
PPG-3 GLYCERYL ETHER TRIACRYLATE,피피지-3글리세릴에터트라이아크릴레이트,PPG-3 Glyceryl Ether Triacrylate,FILM FORMING,Active,,
CELLULOSE OLIVATE,셀룰로오스올리베이트,Cellulose Olivate,SURFACTANT - EMULSIFYING;EMULSION STABILISING,,,
LAVANDULA ANGUSTIFOLIA FLOWER CERA,라벤더허브오일,Lavandula Angustifolia Herb Oil,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,
SACCHARUM OFFICINARUM JUICE EXTRACT,사탕수수즙추출물,Saccharum Officinarum (Sugarcane) Juice Extract,DEODORANT;SKIN CONDITIONING,Active,,
GLYCIDOXYPROPYL POLYSILSESQUIOXANE,글라이시독시프로필폴리실세스퀴옥세인,Glycidoxypropyl Polysilsesquioxane,SKIN CONDITIONING - EMOLLIENT;FILM FORMING;SKIN CONDITIONING,Active,,
ZINC BIS-METHYLIMIDAZOLE,징크비스-메틸이미다졸,Zinc Bis-Methylimidazole,SKIN CONDITIONING;SKIN PROTECTING,Active,,
DISODIUM CYTIDINE PHOSPHATE,다이소듐사이티딘포스페이트,Disodium Cytidine Phosphate,HAIR CONDITIONING;SKIN CONDITIONING - MISCELLANEOUS,,,
POLIANTHES TUBEROSA FLOWER CERA,튜베로즈꽃오일,Polianthes Tuberosa Flower Oil,FRAGRANCE;SKIN CONDITIONING,Active,,
SCHINUS MOLLE FRUIT EXTRACT,페퍼트리씨추출물,Schinus Molle Seed Extract,HUMECTANT;PERFUMING,Active,,
SALIDROSIDE,살리드로사이드,Salidroside,SKIN PROTECTING,,,
