ingredient_code,std_name_ko,std_name_en,old_name_ko,old_name_en,as_of_date,source,ingest_date,batch_id
24740,2-하이드록시에틸아크릴레이트,2-Hydroxyethyl Acrylate,818-61-1,,,kcia,2026-03-23,kcia_2026-03-23
24739,아이소포론다이아이소시아네이트,Isophorone Diisocyanate,4098-71-9,,,kcia,2026-03-23,kcia_2026-03-23
24738,폴리우레탄-57,Polyurethane-57,930592-39-5,,,kcia,2026-03-23,kcia_2026-03-23
24737,댕댕이나무열매수,Lonicera Caerulea Fruit Water,,,,kcia,2026-03-23,kcia_2026-03-23
24736,아스퍼질러스/검은콩발효물,,,,,kcia,2026-03-23,kcia_2026-03-23
24735,효모/(아스퍼질러스/검은콩발효물)/흑미발효여과물,,,,,kcia,2026-03-23,kcia_2026-03-23
24726,알-아스퍼질러스발효여과물가루,r-Aspergillus Ferment Filtrate Powder,,,,kcia,2026-03-23,kcia_2026-03-23
24724,밀리타리스동충하초균사체배양여과물,Cordyceps militaris Mycelium,,,,kcia,2026-03-23,kcia_2026-03-23
24721,라벤더허브오일,Lavandula Angustifolia Herb Oil,,,,kcia,2026-03-23,kcia_2026-03-23
24720,바질허브오일,Ocimum Basilicum Herb Oil,,,,kcia,2026-03-23,kcia_2026-03-23
24719,테트라펩타이드-113,Tetrapeptide-113,,,,kcia,2026-03-23,kcia_2026-03-23
24718,테트라하이드록시프로토버버린클로라이드,Tetrahydroxy Protoberberine Chloride,248262‑61‑7,,,kcia,2026-03-23,kcia_2026-03-23
24717,테트라펩타이드-150,Tetrapeptide-150,,,,kcia,2026-03-23,kcia_2026-03-23
24716,에이이이에이-에이이이에이,에이이이에이-에이이이에이,,,,kcia,2026-03-23,kcia_2026-03-23
24715,펜타펩타이드-130,Pentapeptide-130,,,,kcia,2026-03-23,kcia_2026-03-23
24714,펜타펩타이드-130에이이이에이-에이이이에이테트라펩타이드-150,Pentapeptide-130 AEEA-AEEA Tetrapeptide-150,3107634-77-2,,,kcia,2026-03-23,kcia_2026-03-23
24713,마이크로코쿠스/씨솔트발효용해추출여과물,Micrococcus/Sea Salt Ferment Lysate Extract Filtrate,,,,kcia,2026-03-23,kcia_2026-03-23
24712,스페인자스민꽃오일,Jasminum Grandiflorum (Jasmine) Flower Oil,,,,kcia,2026-03-23,kcia_2026-03-23
24711,아이소노닐살리실레이트,Isononyl Salicylate,89964-87-4,,,kcia,2026-03-23,kcia_2026-03-23
24710,알파-글라이코실아이소쿼시트린,Alpha-Glycosyl Isoquercitrin,,,,kcia,2026-03-23,kcia_2026-03-23
24709,다이브로모헥사미딘이세티오네이트,Dibromohexamidine Isethionate,,,,kcia,2026-03-23,kcia_2026-03-23
24708,"본블랙, 본챠콜",Bone Black,,본차콜,,kcia,2026-03-23,kcia_2026-03-23
24707,효모/당유자껍질발효여과물,Saccharomyces/Citrus Maxima Peel Ferment Filtrate,,,,kcia,2026-03-23,kcia_2026-03-23
24706,효모/당유자껍질발효추출물,Saccharomyces/Citrus Maxima Peel Ferment Extract,,,,kcia,2026-03-23,kcia_2026-03-23
24705,산수유열매/갯방풍꽃/잎/줄기추출물,Cornus Officinalis Fruit/Glehnia Littoralis Flower/Leaf/Stem Extract,,,,kcia,2026-03-23,kcia_2026-03-23
24704,흰여로추출물,Veratrum Versicolor Extract,,,,kcia,2026-03-23,kcia_2026-03-23
24703,바실러스코아귤런스발효여과물,,,,,kcia,2026-03-23,kcia_2026-03-23
24702,노루궁뎅이버섯균사체,,,,,kcia,2026-03-23,kcia_2026-03-23
24701,에피데르미디박테리움 케라티니,Epidermidibacterium Keratini,,,,kcia,2026-03-23,kcia_2026-03-23
24700,인삼뿌리즙추출물,Panax Ginseng Root Juice Extract,,,,kcia,2026-03-23,kcia_2026-03-23
24699,아그배나무잎추출물,Malus Toringo Leaf Extract,,,,kcia,2026-03-23,kcia_2026-03-23
24698,산수유열매소포,Cornus Officinalis Fruit Vesicles,,,,kcia,2026-03-23,kcia_2026-03-23
24697,로도토룰라오일,Rhodotorula oil,,,,kcia,2026-03-23,kcia_2026-03-23
24696,호장근뿌리수,,,,,kcia,2026-03-23,kcia_2026-03-23
24695,스트렙토코쿠스 테르모필루스발효추출여과물,Streptococcus Thermophilus Ferment Extract Filtrate,,,,kcia,2026-03-23,kcia_2026-03-23
24694,포스포로티오에이트잠금트라이뉴클레익애씨드-2,Phosphorothioate Locked Tri Nucleic Acid-2,,,,kcia,2026-03-23,kcia_2026-03-23
24693,포스포로티오에이트디엔에이-3,Phosphorothioate DNA-3,,,,kcia,2026-03-23,kcia_2026-03-23
